38.1	25.4	-11.77	21.58	-20.57	-20.29
39.67	-22.74	-44.66	-0.78	-12.76	-42.46
61.94	-6.95	-21.64	35.41	-13.02	18.92
54.38	73.62	-57.63	44.72	36.47	2923.08
79.68	13.72	-28.79	-16.53	-9.81	6.79
9.41	23.98	-16.06	7.19	-59.48	-70.55
63.97	20.13	-44.42	4.4	-30.52	121.53
19	44.5	19.71	42.67	70.96	-20.13
15.71	17.17	-44.32	-35.28	-58.81	-34.1
-16.75	-6.98	-41.4	-31.75	-49.92	-24.44
33.35	5.21	-41.36	9.28	35.04	70.5
-34.39	-57.31	-60.54	-29.8	-46.52	-7.17
11.96	17.81	-20.37	-39.66	-28.07	-23.99
